ticker,31DaysAgo_price,30DaysAgo_price,29DaysAgo_price,28DaysAgo_price,27DaysAgo_price,26DaysAgo_price,25DaysAgo_price,24DaysAgo_price,23DaysAgo_price,22DaysAgo_price,21DaysAgo_price,20DaysAgo_price,19DaysAgo_price,18DaysAgo_price,17DaysAgo_price,16DaysAgo_price,15DaysAgo_price,14DaysAgo_price,13DaysAgo_price,12DaysAgo_price,11DaysAgo_price,10DaysAgo_price,9DaysAgo_price,8DaysAgo_price,7DaysAgo_price,6DaysAgo_price,5DaysAgo_price,4DaysAgo_price,3DaysAgo_price,2DaysAgo_price,1DaysAgo_price,Today_price,Day_move,Week_move,Month_move
RITR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.785,1.82,1.7578,1.7,1.75,0.050000000000000044,0.0,0.0
WOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0757,0.0752,0.0767,0.0782,3.88,3.8018,0.0,0.0
SMST,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.775,27.83,27.21,32.16,33.515,1.355000000000004,0.0,0.0
SLXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,3.9662,3.951,3.79,3.435,-0.355,0.0,0.0
SBXD.U,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,10.6,10.63,0.030000000000001137,0.0,0.0
HONDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.21,22.81,22.81,24.71,0.0,-24.71,0.0,0.0
YXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0151,1.04,1.1104,1.0399,1.02,-0.01990000000000003,0.0,0.0
RZLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.175,6.27,6.165,5.0392,4.7456,-0.2936000000000005,0.0,0.0
FSHPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FSHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.57,0.0,0.0,10.6,0.0,-10.6,0.0,0.0
BSLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,3.977,4.0,3.58,2.71,-0.8700000000000001,0.0,0.0
CEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,22.805,23.0372,21.0,20.17,-0.8299999999999983,0.0,0.0
AIFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.975,3.015,3.055,2.61,2.0689,-0.5410999999999997,0.0,0.0
CTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.8796,1.8425,1.84,1.75,-0.09000000000000008,0.0,0.0
ACTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.085,7.12,7.14,7.84,7.21,-0.6299999999999999,0.0,0.0
CUBWW,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.2793,0.2323,-0.046999999999999986,0.0,0.0
CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.53,10.53,10.56,0.0,-10.56,0.0,0.0
VACHU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4806,3.48,3.46,3.495,3.1,-0.395,0.0,0.0
MBAVU,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.36,0.0,0.0,0.0,11.01,0.0,0.0,0.0
FDSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.74,13.7,13.66,13.5,13.35,-0.15000000000000036,0.0,0.0
OSTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.035,2.06,2.0721,1.86,1.845,-0.015000000000000124,0.0,0.0
ADGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2.19,2.2295,1.9,1.3,-0.5999999999999999,0.0,0.0
MKDW,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2239,0.2276,0.2251,0.2122,0.21105,-0.0011500000000000121,0.0,0.0
BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.715,54.52,54.61,50.04,48.94,-1.1000000000000014,0.0,0.0
SEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.05,24.34,24.425,24.05,24.675,0.625,0.0,0.0
NIPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.7287,1.73,1.6,1.5001,-0.0999000000000001,0.0,0.0
CON,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.79,20.9,20.955,20.31,21.0,0.6900000000000013,0.0,0.0
LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.065,40.595,40.82,39.51,40.7596,1.249600000000001,0.0,0.0
ORKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.16,2.18,2.01,1.7585,-0.25149999999999983,0.0,0.0
DTSQU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2205,0.2569,0.2814,0.215,0.2102,-0.004799999999999999,0.0,0.0
OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.185,18.24,18.415,17.65,18.0812,0.43120000000000047,0.0,0.0
ZDAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6361,0.6498,0.6213,0.5401,0.5,-0.040100000000000025,0.0,0.0
FETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.71,44.847,44.98,38.25,38.945,0.6950000000000003,0.0,0.0
EZET,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.02,34.08,34.25,29.42,29.61,0.18999999999999773,0.0,0.0
ETHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.92,34.0,34.08,29.0,29.5,0.5,0.0,0.0
QETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7,44.75,45.05,38.5,38.88,0.38000000000000256,0.0,0.0
ETHW,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.08,32.2,32.29,27.81,27.94,0.13000000000000256,0.0,0.0
ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.17,42.32,42.41,36.3,36.7415,0.4415000000000049,0.0,0.0
ETHV,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.57,65.7237,66.02,55.85,57.1742,1.3241999999999976,0.0,0.0
ARTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.015,2.97,2.81,5.0,2.19,0.0,0.0
ARDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.61,14.47,14.635,14.3,15.21,0.9100000000000001,0.0,0.0
TWFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.22,27.69,27.67,26.82,26.18,-0.6400000000000006,0.0,0.0
MACIW,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1876,0.0,0.0,0.15,0.16,0.010000000000000009,0.0,0.0
MACI,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,10.52,0.0,0.0,0.0
ICON,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,2.05,2.06,1.92,1.74,-0.17999999999999994,0.0,0.0
LPAAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,10.75,0.0,0.0,0.0
SIMAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDSTW,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.1094,0.1156,0.107,0.185,0.078,0.0,0.0
SDST,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.29,4.128,3.76,5.0351,1.2751000000000001,0.0,0.0
SUNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7769,9.89,9.95,9.81,9.935,0.125,0.0,0.0
RFAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,10.745,10.7,10.69,10.7,0.009999999999999787,0.0,0.0
RFAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1814,0.1748,0.179899,0.17,0.156001,-0.013999000000000011,0.0,0.0
EHGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.615,0.6212,0.6028,0.525,-0.07779999999999998,0.0,0.0
TOYO,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.69,6.89,6.77,7.238,7.27,0.03199999999999914,0.0,0.0
EURKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPATW,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2799,0.3849,0.44,0.372,0.34,-0.03199999999999997,0.0,0.0
GPAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.63,10.63,0.0,10.68,0.0,0.0,0.0
ALMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3635,4.585,4.53,4.37,4.5625,0.1924999999999999,0.0,0.0
LSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,1.5589,1.61,1.33,1.24,-0.09000000000000008,0.0,0.0
LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.32,53.89,54.065,49.4,59.78,10.380000000000003,0.0,0.0
WBTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.195,18.02,17.615,16.43,18.32,1.8900000000000006,0.0,0.0
TBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,30.0,30.175,27.12,26.58,-0.5400000000000027,0.0,0.0
GRAF.U,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSEEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0207,0.0279,0.027999,0.0275,0.0398,0.012300000000000002,0.0,0.0
VSEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6552,0.665549,0.6704,0.6629,0.62,-0.04290000000000005,0.0,0.0
NVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,24.0,23.505,29.4,32.0,2.6000000000000014,0.0,0.0
KLTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5741,0.5692,0.58,0.55,0.542201,-0.007799,0.0,0.0
TECX,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96,15.61,15.41,15.83,17.6,1.7700000000000014,0.0,0.0
CCIXW,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.82,0.8232,0.95,1.09,0.14000000000000012,0.0,0.0
RECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.605,3.755,3.61,3.59,3.35,-0.23999999999999977,0.0,0.0
CCIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52,10.58,10.6,10.7,10.71,0.010000000000001563,0.0,0.0
MACIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUBWU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FSHPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.13,99.915,101.9085,93.21,90.2648,-2.9452,0.0,0.0
PCSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,10.63,0.0,-10.63,0.0,0.0
ALFUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.01,38.6774,38.48,35.7,38.93,3.229999999999997,0.0,0.0
RAPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.51,27.05,27.03,26.5,26.12,-0.379999999999999,0.0,0.0
FLYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.657501,0.6942,0.6748,0.6492,0.696,0.04679999999999995,0.0,0.0
GAUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53,6.705,6.92,6.78,6.49,-0.29000000000000004,0.0,0.0
INBX,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.815,33.89,33.765,32.465,56.455,23.989999999999995,0.0,0.0
BOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.84,26.76,26.905,26.2,25.25,-0.9499999999999993,0.0,0.0
